Condition,Cross-validation score
"One-hot encoding, iterative imputation, +indicator",0.09074512264428078
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), +indicator",0.09124529043215197
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), +indicator",0.09134950851230055
"Target encoding (smoothing 1.0), iterative imputation, +indicator",0.09137091569718538
"Target encoding (smoothing 0.1), iterative imputation, +indicator",0.09154887516697519
"One-hot encoding, KNN imputation (7 neighbors), +indicator",0.09166630871962253
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), +indicator",0.09167851936589791
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), +indicator",0.09169201839975032
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), +indicator",0.09177241180573177
"Target encoding (smoothing 10.0), iterative imputation, +indicator",0.09182514303527951
"One-hot encoding, KNN imputation (3 neighbors), +indicator",0.09184882515329425
"One-hot encoding, KNN imputation (5 neighbors), +indicator",0.09202491277921053
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), +indicator",0.09202716199469949
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), +indicator",0.09213161455198625
"One-hot encoding, KNN imputation (3 neighbors), +indicator",0.092137564405904
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), +indicator",0.09220928155997671
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), +indicator",0.09228701028796683
"Target encoding (smoothing 1.0), iterative imputation, +indicator",0.09244382164881793
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), +indicator",0.09247323486760198
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), +indicator",0.09252657112276401
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), +indicator",0.09257647408469069
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), +indicator",0.09258931173994951
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), +indicator",0.0926676329551182
"Target encoding (smoothing 0.1), iterative imputation, +indicator",0.09269547292440233
"One-hot encoding, KNN imputation (7 neighbors), +indicator",0.09270591442535997
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), +indicator",0.092737822151958
"One-hot encoding, iterative imputation, +indicator",0.09291296463999127
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), +indicator",0.09306571606656643
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), +indicator",0.09323054621356279
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), +indicator",0.09330390253467419
"Target encoding (smoothing 10.0), iterative imputation, +indicator",0.09345326014457854
"One-hot encoding, KNN imputation (5 neighbors), +indicator",0.09356225809615447
"Target encoding (smoothing 10.0), iterative imputation, +indicator",0.0958660502800463
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), +indicator",0.09593337586066193
"One-hot encoding, iterative imputation, +indicator",0.0968641174081976
"Target encoding (smoothing 1.0), iterative imputation, +indicator",0.09694035545047326
"Target encoding (smoothing 0.1), iterative imputation, +indicator",0.09721604914164718
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), +indicator",0.09723806786624944
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), +indicator",0.09724176949390767
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), +indicator",0.09735509524815066
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), +indicator",0.09739339911347258
"One-hot encoding, KNN imputation (5 neighbors), +indicator",0.09740974680492819
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), +indicator",0.09741231455044301
