Condition,Cross-validation score
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.09127001477393779
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.0913522802353657
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.0914073261410276
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.09164876836730756
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.09166337669771402
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.0917358174798373
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.09179110135348251
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.09185955664828895
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.09186555356534139
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.09214532296506941
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.09220325900697969
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.09223978000137557
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.09225883490708245
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.09226531680444897
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.0922731017375887
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.09229602068037131
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.09237524122693284
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.09239114669345336
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.09239410821760854
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.09243181487984418
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.0924336376365877
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.09245405918577054
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.09250844626738729
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.09256600732370097
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.09259076210340111
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.09268166764322225
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.0928155955455057
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.09283254938014773
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.09296889354485897
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.09299032567094827
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.0931150963848586
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.09315512885537104
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.09317017160854119
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.09319595323715794
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.093429390839147
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.09384933383324885
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.09589370833968178
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.0960255542687343
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.09626330031535993
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.09638972215504503
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.096523833634553
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.0967429871150853
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.09698684837406783
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.09712813848132192
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.0971827037997678
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.09730218389971979
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.09735667723303802
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.09750392651767256
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.0975099406023222
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.09760814300771159
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.09770705319254458
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.09773380491825988
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.09795886112652882
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.09798907925020507
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.09804794874357593
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.0982253619571961
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.09866861516710103
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.09906304475087284
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.09929411192371651
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.09931222070459322
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.09934036276189537
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.09935660062231239
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.09937348281436019
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.09939625061260626
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.09943555338080971
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.09955168935290423
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.09961504032818702
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.09969675348176979
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.0997292763551164
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.09991459447979872
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.10016161729994534
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.10060309888024876
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.10337867489339407
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.1034068343014792
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.10375241310510663
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.10398225593038538
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.1039903926742997
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.10405863329547821
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.10406984093451324
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.10417612575861813
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.1042330728601891
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.104377186922028
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.1045381338862732
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.10461802742704848
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.10466999572923885
"Target encoding (smoothing 32.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.10477096429667163
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.10484695309185055
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.10500958023633981
"Target encoding (smoothing 32.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.10534290379885156
"Target encoding (smoothing 32.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.10565222215985143
