Smoothing,Cross-validation score
32.0,0.09118554243123149
64.0,0.091532233045227
4.0,0.09172502823788944
2.0,0.09182691939147646
16.0,0.0919484862754701
auto,0.09202555053817943
4.0,0.09216195830277939
32.0,0.09231872605218276
8.0,0.09238286930025719
1.0,0.09243640848503269
8.0,0.09249452701054822
auto,0.09258839410981684
2.0,0.09264815038130975
64.0,0.09284704451552624
16.0,0.09292057720203083
1.0,0.09322534443066145
32.0,0.09607600684869831
4.0,0.09654466271795573
8.0,0.09668376304589092
auto,0.0970285309294426
64.0,0.09711631536487103
2.0,0.09717910171902464
4.0,0.09744554958688818
1.0,0.09757166214635629
16.0,0.09802836071664306
8.0,0.09814281055584988
auto,0.09870383325616187
64.0,0.09916039435155423
16.0,0.09945130193059795
2.0,0.09952868933765083
1.0,0.09976491627102624
32.0,0.10050497031948029
1.0,0.10229766150872104
auto,0.10301336583638566
2.0,0.10302025033034026
8.0,0.10400469619791412
64.0,0.10486927136773927
32.0,0.10512778933494714
16.0,0.10515216746331327
4.0,0.10631808542984532
