Condition,Cross-validation score
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.8796763178162604
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.8752567909850412
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.8752567909850412
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.8752567909850412
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.8752567909850412
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8752286663365992
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8752286663365992
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8752286663365992
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.8752286663365992
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.8752005416881574
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8748453056425566
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8748453056425566
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8748453056425566
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8748171809941147
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.8747890563456727
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.8747890563456727
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8747890563456727
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.8747890563456727
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8715097564757818
