Smoothing,Cross-validation score
8.0,0.8805038829506849
64.0,0.8800218163806061
16.0,0.8799502764062878
1.0,0.8796763178162604
32.0,0.8796200637730012
auto,0.8793573240116174
2.0,0.8793573240116174
4.0,0.8791339301005071
64.0,0.8766114626505357
16.0,0.8762515102264433
2.0,0.8752567909850412
1.0,0.8752286663365992
auto,0.8752005416881574
8.0,0.8752005416881574
4.0,0.8751724170397156
32.0,0.8751724170397156
8.0,0.8751055958170766
2.0,0.8748453056425566
auto,0.8748453056425566
1.0,0.8748171809941147
4.0,0.8739855416377117
32.0,0.8738352980969077
16.0,0.8735146986426522
64.0,0.8731394579143131
2.0,0.8715378811242237
1.0,0.8715097564757818
auto,0.8715097564757818
32.0,0.8712204977155688
4.0,0.8704587879374959
16.0,0.8703953703020691
8.0,0.8703069363738916
64.0,0.8689072437329081
32.0,0.8582093151062047
16.0,0.8580686918639951
64.0,0.8580120558309612
1.0,0.8578336876417154
2.0,0.8574185776375643
auto,0.8574185776375643
4.0,0.8572662097679847
8.0,0.8572662097679847
